Name,Site type,Community,Location,lat,lon,lat2,lon2
Cae Summerhouse Camp,Enclosure,Merthyr Mawr,"51°29′22″N 3°38′15″W﻿ / ﻿51.4894°N 3.6375°W, SS864779",51.4850621,-3.6089595,51.4850621,-3.6089595
Dan-y-Graig Roman villa,Villa,Porthcawl,"51°29′21″N 3°40′18″W﻿ / ﻿51.4893°N 3.6717°W, SS840780",51.4795563,-3.7040704,51.4795563,-3.7040704
Nottage Court Inscribed Stone,Inscribed stone,Porthcawl,"51°29′24″N 3°42′02″W﻿ / ﻿51.49°N 3.7005°W, SS820781",51.4795563,-3.7040704,51.4795563,-3.7040704
Bwlch yr Afan Dyke,Dyke,Ogmore Valley,"51°38′40″N 3°33′42″W﻿ / ﻿51.6444°N 3.5617°W, SS920951",51.60192345,-3.517668366905327,51.60192345,-3.517668366905327
Coychurch Celtic Cross-Shaft in Church,Cross,Coychurch Lower,"51°30′22″N 3°31′46″W﻿ / ﻿51.5062°N 3.5294°W, SS939796",51.50038625,-3.5481410245495497,51.50038625,-3.5481410245495497
Merthyr Mawr pre-Norman Stones,Cross base,Merthyr Mawr,"51°29′08″N 3°36′38″W﻿ / ﻿51.4856°N 3.6105°W, SS882775",51.4850621,-3.6089595,51.4850621,-3.6089595
Vervil Dyke,Dyke,Merthyr Mawr,"51°29′05″N 3°36′05″W﻿ / ﻿51.4848°N 3.6014°W, SS889774",51.4850621,-3.6089595,51.4850621,-3.6089595
Mynydd Ty Talwyn Ancient Farms 1,House platform,Llangynwyd Lower,"51°33′46″N 3°39′04″W﻿ / ﻿51.5628°N 3.651°W, SS856861",51.55899425,-3.6247421774034483,51.55899425,-3.6247421774034483
Mynydd Ty Talwyn Ancient Farms 2,House platform,Llangynwyd Lower,"51°33′49″N 3°38′47″W﻿ / ﻿51.5637°N 3.6463°W, SS859862",51.55899425,-3.6247421774034483,51.55899425,-3.6247421774034483
Croes Siencyn Incised Stone,Cross-marked stone,Cornelly,"51°31′39″N 3°41′56″W﻿ / ﻿51.5275°N 3.6989°W, SS822823",51.51712795,-3.707648214886011,51.51712795,-3.707648214886011
Conbelani Stone in St Roque's Chapel,Cross,Merthyr Mawr,"51°29′27″N 3°36′08″W﻿ / ﻿51.4908°N 3.6021°W, SS888780",51.4850621,-3.6089595,51.4850621,-3.6089595
Cross in Tythegston Churchyard,Cross,Merthyr Mawr,"51°29′48″N 3°38′50″W﻿ / ﻿51.4967°N 3.6471°W, SS857788",51.4850621,-3.6089595,51.4850621,-3.6089595
Remains of Llangewydd Church & Churchyard,Church,Laleston,"51°30′58″N 3°37′20″W﻿ / ﻿51.5161°N 3.6221°W, SS875809",51.5061712,-3.6211662,51.5061712,-3.6211662
Coity Castle,Castle,Coity Higher,"51°31′20″N 3°33′12″W﻿ / ﻿51.5221°N 3.5534°W, SS923814",51.523613499999996,-3.554742400798305,51.523613499999996,-3.554742400798305
Derwen Moated Site,Moated Site,Coity Higher,"51°31′49″N 3°34′00″W﻿ / ﻿51.5304°N 3.5666°W, SS914824",51.523613499999996,-3.554742400798305,51.523613499999996,-3.554742400798305
Kenfig Castle & Medieval Town,Castle,Cornelly,"51°31′45″N 3°43′47″W﻿ / ﻿51.5292°N 3.7297°W, SS80182",51.51712795,-3.707648214886011,51.51712795,-3.707648214886011
Llangynwyd Castle,Castle,Llangynwyd Middle,"51°35′07″N 3°39′33″W﻿ / ﻿51.5852°N 3.6591°W, SS851886",51.58018945,-3.6476422389184116,51.58018945,-3.6476422389184116
"Newcastle Castle, Bridgend",Castle,Bridgend,"51°30′32″N 3°34′59″W﻿ / ﻿51.5089°N 3.583°W, SS902800",51.5049843,-3.5756674,51.5049843,-3.5756674
Stormy Castle,Motte,Cornelly,"51°31′14″N 3°39′53″W﻿ / ﻿51.5206°N 3.6647°W, SS845815",51.51712795,-3.707648214886011,51.51712795,-3.707648214886011
Garth Hill Platform House,Platform house,Maesteg,"51°35′51″N 3°37′50″W﻿ / ﻿51.5976°N 3.6305°W, SS871900",51.6088841,-3.6583848,51.6088841,-3.6583848
Earthwork & Platform Houses N of Nant Fadog,Platform house,Llangynwyd Lower,"51°33′30″N 3°38′46″W﻿ / ﻿51.5584°N 3.6462°W, SS859856",51.55899425,-3.6247421774034483,51.55899425,-3.6247421774034483
St Roque's Chapel,Chapel,Merthyr Mawr,"51°29′27″N 3°36′08″W﻿ / ﻿51.4908°N 3.6021°W, SS888780",51.4850621,-3.6089595,51.4850621,-3.6089595
"Bryncynan, Mynydd Ty-talwyn",Deserted Rural Settlement,Llangynwyd Middle,"51°34′08″N 3°38′42″W﻿ / ﻿51.5688°N 3.6449°W, SS860868",51.58018945,-3.6476422389184116,51.58018945,-3.6476422389184116
Candleston Castle,Manor,Merthyr Mawr,"51°28′58″N 3°37′37″W﻿ / ﻿51.4829°N 3.6269°W, SS871772",51.4850621,-3.6089595,51.4850621,-3.6089595
Coychurch Churchyard Cross,Cross,Coychurch Lower,"51°30′22″N 3°31′45″W﻿ / ﻿51.506°N 3.5293°W, SS939796",51.50038625,-3.5481410245495497,51.50038625,-3.5481410245495497
Merthyr Mawr Churchyard Cross,Cross,Merthyr Mawr,"51°29′07″N 3°36′37″W﻿ / ﻿51.4853°N 3.6103°W, SS882774",51.4850621,-3.6089595,51.4850621,-3.6089595
Bridgend Old Bridge,Bridge,Bridgend,"51°30′24″N 3°34′49″W﻿ / ﻿51.5068°N 3.5803°W, SS904798",51.5049843,-3.5756674,51.5049843,-3.5756674
Cefn Hirgoed Rabbit Warren,Pillow mound,St Bride's Minor,"51°32′02″N 3°33′51″W﻿ / ﻿51.534°N 3.5642°W, SS916828",51.5478751,-3.5576732371875,51.5478751,-3.5576732371875
New Inn Bridge,Bridge,Merthyr Mawr,"51°29′37″N 3°35′56″W﻿ / ﻿51.4936°N 3.5989°W, SS891783",51.4850621,-3.6089595,51.4850621,-3.6089595
Plas-y-Betws relict garden,House (domestic),Garw Valley,"51°34′07″N 3°34′51″W﻿ / ﻿51.5685°N 3.5807°W, SS905866",51.59928945,-3.5855727241525424,51.59928945,-3.5855727241525424
Angleton Iron Works,Industrial monument,Coity Higher,"51°31′35″N 3°34′51″W﻿ / ﻿51.5263°N 3.5809°W, SS904820",51.523613499999996,-3.554742400798305,51.523613499999996,-3.554742400798305
Cefn Cribwr Ironworks,Ironworks,Cefn Cribwr,"51°32′18″N 3°39′29″W﻿ / ﻿51.5382°N 3.658°W, SS851834",51.5320564,-3.6498846,51.5320564,-3.6498846
Bryndu Coke Ovens,Coke Oven,Cornelly,"51°32′18″N 3°40′32″W﻿ / ﻿51.5383°N 3.6755°W, SS838834",51.51712795,-3.707648214886011,51.51712795,-3.707648214886011
Maesteg Blast Furnaces,Blast Furnace,Maesteg,"51°36′41″N 3°39′51″W﻿ / ﻿51.6114°N 3.6643°W, SS848916",51.6088841,-3.6583848,51.6088841,-3.6583848
Tondu Ironworks,Ironworks,Ynysawdre,"51°32′54″N 3°36′03″W﻿ / ﻿51.5482°N 3.6007°W, SS891844",51.5486347,-3.594394632276994,51.5486347,-3.594394632276994
Royal Ordnance Factory Pillbox,Pillbox,Coychurch Lower,"51°30′10″N 3°33′59″W﻿ / ﻿51.5028°N 3.5665°W, SS913793",51.50038625,-3.5481410245495497,51.50038625,-3.5481410245495497
Cairnfield on Mynydd Eglwysilan,Round cairn,Aber Valley,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°37′20″N 3°16′45″W﻿ / ﻿51.6223°N 3.2792°W, ST115922",51.6004849,-3.26974940615438,51.6004849,-3.26974940615438
Garnedd Lwyd,Round cairn,Aber Valley,"51°36′18″N 3°17′25″W﻿ / ﻿51.6051°N 3.2904°W, ST107903",51.6004849,-3.26974940615438,51.6004849,-3.26974940615438
Two Round Cairns on the Bryn,Round cairn,Aber Valley,"51°36′35″N 3°14′52″W﻿ / ﻿51.6096°N 3.2479°W, ST136908",51.6004849,-3.26974940615438,51.6004849,-3.26974940615438
"Begwns Round Barrow, Mynydd Machen",Round cairn,Bedwas  Trethomas and Machen,"51°36′13″N 3°07′20″W﻿ / ﻿51.6036°N 3.1222°W, ST223900",51.5953767,-3.2001004,51.5953767,-3.2001004
Cairn 270m N of Pont Ffosyrhebog,Round cairn,Darran Valley,"51°43′00″N 3°17′09″W﻿ / ﻿51.7168°N 3.2857°W, SO112027",51.72121425,-3.2756035775464127,51.72121425,-3.2756035775464127
Maen Cattwg (cup-marked stone),Cup-marked stone,Gelligaer,"51°40′08″N 3°15′50″W﻿ / ﻿51.6689°N 3.2638°W, ST126974",51.6640292,-3.2506937,51.6640292,-3.2506937
"Bryn Owen Farm Cairns, Llanfabon",Round cairn,Llanbradach,"51°36′35″N 3°14′16″W﻿ / ﻿51.6096°N 3.2378°W, ST143908",51.6041104,-3.2330809,51.6041104,-3.2330809
"Cairn Cemetery on Mynydd Bach, Bedwas",Round cairn,Maesycwmmer,"51°37′14″N 3°12′09″W﻿ / ﻿51.6206°N 3.2025°W, ST168919",51.6440504,-3.2224498,51.6440504,-3.2224498
Pen-y-Rhiw Round Cairn,Round cairn,Maesycwmmer,"51°37′13″N 3°12′12″W﻿ / ﻿51.6204°N 3.2033°W, ST167919",51.6440504,-3.2224498,51.6440504,-3.2224498
Carneddi Llwydion,Round cairn,Nelson,"51°37′11″N 3°17′38″W﻿ / ﻿51.6198°N 3.294°W, ST105920",-41.2710849,173.2836756,-41.2710849,173.2836756
Round Cairn 315m S of Upper Wenallt,Round cairn,Risca,"51°36′32″N 3°04′31″W﻿ / ﻿51.609°N 3.0754°W, ST256905",51.6119541,-3.0964817,51.6119541,-3.0964817
Twyn Cae-Hugh Round Barrow,Round barrow,Ynysddu,"51°36′59″N 3°11′41″W﻿ / ﻿51.6163°N 3.1947°W, ST173915",51.62533245,-3.170829848760633,51.62533245,-3.170829848760633
Twyn-Yr-Oerfel Round Barrows,Round barrow,Ynysddu,"51°36′33″N 3°11′02″W﻿ / ﻿51.6091°N 3.1839°W, ST181906",51.62533245,-3.170829848760633,51.62533245,-3.170829848760633
Ruperra Hillfort and Motte,Hillfort,Rudry,"51°34′24″N 3°07′23″W﻿ / ﻿51.5733°N 3.1231°W, ST222866",51.5796333,-3.1736364,51.5796333,-3.1736364
Cefn Manmoel cross-ridge dyke,Cross Ridge Dyke,Argoed,"51°44′39″N 3°12′06″W﻿ / ﻿51.7442°N 3.2018°W, SO171057",53.168685249999996,-3.1140549372246564,53.168685249999996,-3.1140549372246564
Rectangular Earthworks 530m SSW of Heol-Ddu-Uchaf,Practice camp,Bargoed,"51°41′04″N 3°14′52″W﻿ / ﻿51.6845°N 3.2477°W, ST138991",51.6911236,-3.2290284,51.6911236,-3.2290284
Fforest Gwladys Roman practice camp,Practice camp,Gelligaer,"51°41′02″N 3°15′28″W﻿ / ﻿51.6838°N 3.2579°W, ST131990",51.6640292,-3.2506937,51.6640292,-3.2506937
Gelligaer Roman Site,Fort,Gelligaer,"51°40′01″N 3°15′17″W﻿ / ﻿51.667°N 3.2548°W, ST133972",51.6640292,-3.2506937,51.6640292,-3.2506937
Fort South of Pen-Llwyn-Fawr,Fort,Pontllanfraith,"51°39′04″N 3°11′42″W﻿ / ﻿51.651°N 3.195°W, ST174953",51.6538727,-3.1941208,51.6538727,-3.1941208
Cross Ridge Dyke & Cairn on Twyn Hywel,Cross Ridge Dyke,Aber Valley,"51°36′42″N 3°18′03″W﻿ / ﻿51.6116°N 3.3007°W, ST100911",51.6004849,-3.26974940615438,51.6004849,-3.26974940615438
Capel Gwladys,Chapel,Darran Valley,"51°41′08″N 3°16′02″W﻿ / ﻿51.6856°N 3.2671°W, ST125992",51.72121425,-3.2756035775464127,51.72121425,-3.2756035775464127
Dyke 387m E of Clawdd Trawscae Farm,Ditch,Darran Valley,"51°41′40″N 3°16′41″W﻿ / ﻿51.6944°N 3.278°W, SO117002",51.72121425,-3.2756035775464127,51.72121425,-3.2756035775464127
Site of Tegernacus Stone,Inscribed stone,Darran Valley,"51°42′57″N 3°14′59″W﻿ / ﻿51.7157°N 3.2498°W, SO137026",51.72121425,-3.2756035775464127,51.72121425,-3.2756035775464127
"St. Sannan's Churchyard Cross, Bedwellty",Cross,Argoed,"51°41′42″N 3°12′27″W﻿ / ﻿51.6951°N 3.2074°W, SO166002",53.168685249999996,-3.1140549372246564,53.168685249999996,-3.1140549372246564
Bedwas Churchyard Cross,Cross,Bedwas  Trethomas and Machen,"51°35′43″N 3°11′53″W﻿ / ﻿51.5954°N 3.1981°W, ST171891",51.5953767,-3.2001004,51.5953767,-3.2001004
House Platforms to W of Mynydd Machen,House platform,Bedwas  Trethomas and Machen,"51°36′15″N 3°07′30″W﻿ / ﻿51.6043°N 3.1249°W, ST221900",51.5953767,-3.2001004,51.5953767,-3.2001004
Caerphilly Castle,Castle,Caerphilly,"51°34′35″N 3°13′14″W﻿ / ﻿51.5763°N 3.2206°W, ST155870",51.6723809,-3.178393772876317,51.6723809,-3.178393772876317
Castell Morgraig,Castle,Caerphilly,"51°33′07″N 3°12′47″W﻿ / ﻿51.5519°N 3.213°W, ST159843",51.6723809,-3.178393772876317,51.6723809,-3.178393772876317
Capel y Brithdir,Chapel,Darran Valley,"51°42′54″N 3°14′53″W﻿ / ﻿51.7149°N 3.2481°W, SO138025",51.72121425,-3.2756035775464127,51.72121425,-3.2756035775464127
Platform Houses on East Side of Gelligaer Common,Platform house,Darran Valley,"51°42′59″N 3°16′50″W﻿ / ﻿51.7164°N 3.2806°W, SO116027",51.72121425,-3.2756035775464127,51.72121425,-3.2756035775464127
Three Platform Houses on Cefn Brithdir,Platform house,Darran Valley,"51°43′09″N 3°15′44″W﻿ / ﻿51.7193°N 3.2623°W, SO128030",51.72121425,-3.2756035775464127,51.72121425,-3.2756035775464127
Twyn Castell,Motte,Gelligaer,"51°39′53″N 3°14′59″W﻿ / ﻿51.6646°N 3.2496°W, ST136969",51.6640292,-3.2506937,51.6640292,-3.2506937
Twmbarlwm Mound and Bailey Castle,Motte,Risca,"51°37′38″N 3°05′46″W﻿ / ﻿51.6272°N 3.0961°W, ST243926",51.6119541,-3.0964817,51.6119541,-3.0964817
Gwern-y-Domen Castle Mound,Motte,Van,"51°35′01″N 3°11′31″W﻿ / ﻿51.5837°N 3.192°W, ST175878",47.6586772,-2.7599079,47.6586772,-2.7599079
Twyn Tudor,Motte,Ynysddu,"51°38′14″N 3°10′01″W﻿ / ﻿51.6373°N 3.1669°W, ST193938",51.62533245,-3.170829848760633,51.62533245,-3.170829848760633
Charcoal Blast Furnace at Abercarn,Blast Furnace,Abercarn,"51°38′50″N 3°08′03″W﻿ / ﻿51.6471°N 3.1342°W, ST216948",51.64797485,-3.1251826377239684,51.64797485,-3.1251826377239684
"Cornish Type Engine House, Bryngwyn Colliery",Engine house,Bedwas  Trethomas and Machen,"51°35′46″N 3°12′40″W﻿ / ﻿51.5962°N 3.2111°W, ST162892",51.5953767,-3.2001004,51.5953767,-3.2001004
Machen Forge and Tinplate Works,Water Power System,Bedwas  Trethomas and Machen,"51°35′35″N 3°09′04″W﻿ / ﻿51.593°N 3.1511°W, ST203888",51.5953767,-3.2001004,51.5953767,-3.2001004
Caerffili Mountain Shaft Mounds,Shaft Mounds,Caerphilly,"51°33′30″N 3°13′22″W﻿ / ﻿51.5583°N 3.2229°W, ST153850",51.6723809,-3.178393772876317,51.6723809,-3.178393772876317
Former Dam of Cwmcarn Canal Reservoir,Dam,Crosskeys,"51°38′07″N 3°07′30″W﻿ / ﻿51.6353°N 3.1249°W, ST222935",51.6207575,-3.1258367,51.6207575,-3.1258367
Pen-y-fan Pond,Reservoir,Crumlin,"51°41′52″N 3°09′51″W﻿ / ﻿51.6979°N 3.1641°W, SO196005",51.6781517,-3.1404356,51.6781517,-3.1404356
Caerphilly Iron Furnace,Ironworks,Penyrheol Trecenydd and Energlyn,"51°34′53″N 3°14′22″W﻿ / ﻿51.5815°N 3.2394°W, ST142876",51.5903754,-3.2311534,51.5903754,-3.2311534
Rhymney Upper Furnace,Blast Furnace,Rhymney,"51°46′27″N 3°17′36″W﻿ / ﻿51.7741°N 3.2934°W, SO108091",51.7613231,-3.2885172,51.7613231,-3.2885172
Rudry Ironworks,Ironworks,Rudry,"51°35′14″N 3°09′44″W﻿ / ﻿51.5873°N 3.1622°W, ST195882",51.5796333,-3.1736364,51.5796333,-3.1736364
Ruperra Castle,House (domestic),Rudry,"51°34′13″N 3°07′38″W﻿ / ﻿51.5703°N 3.1271°W, ST219863",51.5796333,-3.1736364,51.5796333,-3.1736364
Ruperra Castle lower summerhouse remains,Garden building,Rudry,"51°34′22″N 3°07′20″W﻿ / ﻿51.5729°N 3.1221°W, ST223866",51.5796333,-3.1736364,51.5796333,-3.1736364
Cae-yr-Arfau Burial Chamber [cy; de],Chambered tomb,Pentyrch,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°31′50″N 3°19′54″W﻿ / ﻿51.5306°N 3.3317°W, ST077821",51.5302179,-3.2956931,51.5302179,-3.2956931
Five Round Barrows on Garth Hill,Round barrow,Pentyrch,"51°32′37″N 3°17′36″W﻿ / ﻿51.5436°N 3.2932°W, ST104835",51.5302179,-3.2956931,51.5302179,-3.2956931
Cooking Mound East of Taff Terrace,Burnt mound,Radyr and Morganstown,"51°30′45″N 3°14′56″W﻿ / ﻿51.5126°N 3.2488°W, ST134800",51.5195525,-3.2658810238118483,51.5195525,-3.2658810238118483
Caerau Hillfort,Hillfort,Caerau,"51°28′03″N 3°14′54″W﻿ / ﻿51.4675°N 3.2484°W, ST133750",51.4745955,-3.2382156,51.4745955,-3.2382156
Llwynda-Ddu Camp,Hillfort,Pentyrch,"51°31′15″N 3°17′10″W﻿ / ﻿51.5209°N 3.2861°W, ST109810",51.5302179,-3.2956931,51.5302179,-3.2956931
Castle Field Camp E of Craig-Llywn,Hillfort,Pontprennau,"51°32′58″N 3°08′55″W﻿ / ﻿51.5494°N 3.1486°W, ST204840",51.5364675,-3.1407192,51.5364675,-3.1407192
"Wenallt Camp, Rhiwbina",Hillfort,Rhiwbina,"51°32′14″N 3°13′26″W﻿ / ﻿51.5373°N 3.2239°W, ST152827",51.5210847,-3.2139401,51.5210847,-3.2139401
Cardiff Castle and Roman Fort,Fort,Castle,"51°28′57″N 3°10′52″W﻿ / ﻿51.4824°N 3.1811°W, ST180765",44.9243376,8.0745443,44.9243376,8.0745443
Pen y lan Roman Site,Settlement,Roath,"51°30′06″N 3°09′23″W﻿ / ﻿51.5017°N 3.1563°W, ST198787",51.4937854,-3.1642351,51.4937854,-3.1642351
Ely Roman Villa,Villa,Caerau,"51°28′40″N 3°13′46″W﻿ / ﻿51.4777°N 3.2295°W, ST147761",51.4745955,-3.2382156,51.4745955,-3.2382156
Cross in Llandaff Cathedral,Cross,Llandaff,"51°29′44″N 3°13′03″W﻿ / ﻿51.4956°N 3.2176°W, ST155781",51.4941512,-3.2176131,51.4941512,-3.2176131
Leckwith Bridge,Bridge,Canton,"51°28′12″N 3°12′43″W﻿ / ﻿51.4699°N 3.212°W, ST159752",32.555664,-95.8640507,32.555664,-95.8640507
"Blackfriars Priory (dominican), Bute Park",Friary,Castle,"51°29′00″N 3°11′07″W﻿ / ﻿51.4832°N 3.1853°W, ST177766",44.9243376,8.0745443,44.9243376,8.0745443
Castell Morgraig,Castle,Lisvane,"51°33′07″N 3°12′47″W﻿ / ﻿51.5519°N 3.213°W, ST159843",51.5405317,-3.178344,51.5405317,-3.178344
Llandaff Cathedral Bell Tower,Bell Tower,Llandaff,"51°29′43″N 3°13′07″W﻿ / ﻿51.4953°N 3.2186°W, ST154780",51.4941512,-3.2176131,51.4941512,-3.2176131
"Old Bishop's Palace, Llandaff",Bishop's Palace,Llandaff,"51°29′40″N 3°13′02″W﻿ / ﻿51.4945°N 3.2172°W, ST155779",51.4941512,-3.2176131,51.4941512,-3.2176131
St Mellons Churchyard Cross,Cross,Old St Mellons,"51°31′33″N 3°06′48″W﻿ / ﻿51.5258°N 3.1134°W, ST228813",51.53379965,-3.11124987217596,51.53379965,-3.11124987217596
