Name,Site type,Community,Location
Twmpath Diwlith Round Barrow,Round barrow,Maesteg,"51°35′09″N 3°41′13″W﻿ / ﻿51.5858°N 3.687°W, SS832887"
Y Bwlwarcau (The Bulwarks),Hillfort,Llangynwyd Middle,"51°35′02″N 3°40′38″W﻿ / ﻿51.5839°N 3.6771°W, SS839885"
Merthyr Mawr Warren,Unclassified site,Merthyr Mawr,"51°28′53″N 3°38′19″W﻿ / ﻿51.4813°N 3.6386°W, SS863770"
Pen-y-Castell Camp,Hillfort,Pyle,"51°31′52″N 3°40′13″W﻿ / ﻿51.5312°N 3.6704°W, SS842826"
Chapel Hill Camp,Hillfort,Merthyr Mawr,"51°29′26″N 3°36′06″W﻿ / ﻿51.4906°N 3.6018°W, SS889780"
Cae Summerhouse Camp,Enclosure,Merthyr Mawr,"51°29′22″N 3°38′15″W﻿ / ﻿51.4894°N 3.6375°W, SS864779"
Dan-y-Graig Roman villa,Villa,Porthcawl,"51°29′21″N 3°40′18″W﻿ / ﻿51.4893°N 3.6717°W, SS840780"
Nottage Court Inscribed Stone,Inscribed stone,Porthcawl,"51°29′24″N 3°42′02″W﻿ / ﻿51.49°N 3.7005°W, SS820781"
Bwlch yr Afan Dyke,Dyke,Ogmore Valley,"51°38′40″N 3°33′42″W﻿ / ﻿51.6444°N 3.5617°W, SS920951"
Coychurch Celtic Cross-Shaft in Church,Cross,Coychurch Lower,"51°30′22″N 3°31′46″W﻿ / ﻿51.5062°N 3.5294°W, SS939796"
Merthyr Mawr pre-Norman Stones,Cross base,Merthyr Mawr,"51°29′08″N 3°36′38″W﻿ / ﻿51.4856°N 3.6105°W, SS882775"
Vervil Dyke,Dyke,Merthyr Mawr,"51°29′05″N 3°36′05″W﻿ / ﻿51.4848°N 3.6014°W, SS889774"
Mynydd Ty Talwyn Ancient Farms 1,House platform,Llangynwyd Lower,"51°33′46″N 3°39′04″W﻿ / ﻿51.5628°N 3.651°W, SS856861"
Mynydd Ty Talwyn Ancient Farms 2,House platform,Llangynwyd Lower,"51°33′49″N 3°38′47″W﻿ / ﻿51.5637°N 3.6463°W, SS859862"
Croes Siencyn Incised Stone,Cross-marked stone,Cornelly,"51°31′39″N 3°41′56″W﻿ / ﻿51.5275°N 3.6989°W, SS822823"
Conbelani Stone in St Roque's Chapel,Cross,Merthyr Mawr,"51°29′27″N 3°36′08″W﻿ / ﻿51.4908°N 3.6021°W, SS888780"
Cross in Tythegston Churchyard,Cross,Merthyr Mawr,"51°29′48″N 3°38′50″W﻿ / ﻿51.4967°N 3.6471°W, SS857788"
Remains of Llangewydd Church & Churchyard,Church,Laleston,"51°30′58″N 3°37′20″W﻿ / ﻿51.5161°N 3.6221°W, SS875809"
Coity Castle,Castle,Coity Higher,"51°31′20″N 3°33′12″W﻿ / ﻿51.5221°N 3.5534°W, SS923814"
Derwen Moated Site,Moated Site,Coity Higher,"51°31′49″N 3°34′00″W﻿ / ﻿51.5304°N 3.5666°W, SS914824"
Kenfig Castle & Medieval Town,Castle,Cornelly,"51°31′45″N 3°43′47″W﻿ / ﻿51.5292°N 3.7297°W, SS80182"
Llangynwyd Castle,Castle,Llangynwyd Middle,"51°35′07″N 3°39′33″W﻿ / ﻿51.5852°N 3.6591°W, SS851886"
"Newcastle Castle, Bridgend",Castle,Bridgend,"51°30′32″N 3°34′59″W﻿ / ﻿51.5089°N 3.583°W, SS902800"
Stormy Castle,Motte,Cornelly,"51°31′14″N 3°39′53″W﻿ / ﻿51.5206°N 3.6647°W, SS845815"
Garth Hill Platform House,Platform house,Maesteg,"51°35′51″N 3°37′50″W﻿ / ﻿51.5976°N 3.6305°W, SS871900"
Earthwork & Platform Houses N of Nant Fadog,Platform house,Llangynwyd Lower,"51°33′30″N 3°38′46″W﻿ / ﻿51.5584°N 3.6462°W, SS859856"
St Roque's Chapel,Chapel,Merthyr Mawr,"51°29′27″N 3°36′08″W﻿ / ﻿51.4908°N 3.6021°W, SS888780"
"Bryncynan, Mynydd Ty-talwyn",Deserted Rural Settlement,Llangynwyd Middle,"51°34′08″N 3°38′42″W﻿ / ﻿51.5688°N 3.6449°W, SS860868"
Candleston Castle,Manor,Merthyr Mawr,"51°28′58″N 3°37′37″W﻿ / ﻿51.4829°N 3.6269°W, SS871772"
Coychurch Churchyard Cross,Cross,Coychurch Lower,"51°30′22″N 3°31′45″W﻿ / ﻿51.506°N 3.5293°W, SS939796"
Merthyr Mawr Churchyard Cross,Cross,Merthyr Mawr,"51°29′07″N 3°36′37″W﻿ / ﻿51.4853°N 3.6103°W, SS882774"
Bridgend Old Bridge,Bridge,Bridgend,"51°30′24″N 3°34′49″W﻿ / ﻿51.5068°N 3.5803°W, SS904798"
Cefn Hirgoed Rabbit Warren,Pillow mound,St Bride's Minor,"51°32′02″N 3°33′51″W﻿ / ﻿51.534°N 3.5642°W, SS916828"
New Inn Bridge,Bridge,Merthyr Mawr,"51°29′37″N 3°35′56″W﻿ / ﻿51.4936°N 3.5989°W, SS891783"
Plas-y-Betws relict garden,House (domestic),Garw Valley,"51°34′07″N 3°34′51″W﻿ / ﻿51.5685°N 3.5807°W, SS905866"
Angleton Iron Works,Industrial monument,Coity Higher,"51°31′35″N 3°34′51″W﻿ / ﻿51.5263°N 3.5809°W, SS904820"
Cefn Cribwr Ironworks,Ironworks,Cefn Cribwr,"51°32′18″N 3°39′29″W﻿ / ﻿51.5382°N 3.658°W, SS851834"
Bryndu Coke Ovens,Coke Oven,Cornelly,"51°32′18″N 3°40′32″W﻿ / ﻿51.5383°N 3.6755°W, SS838834"
Maesteg Blast Furnaces,Blast Furnace,Maesteg,"51°36′41″N 3°39′51″W﻿ / ﻿51.6114°N 3.6643°W, SS848916"
Tondu Ironworks,Ironworks,Ynysawdre,"51°32′54″N 3°36′03″W﻿ / ﻿51.5482°N 3.6007°W, SS891844"
Royal Ordnance Factory Pillbox,Pillbox,Coychurch Lower,"51°30′10″N 3°33′59″W﻿ / ﻿51.5028°N 3.5665°W, SS913793"
Cairnfield on Mynydd Eglwysilan,Round cairn,Aber Valley,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°37′20″N 3°16′45″W﻿ / ﻿51.6223°N 3.2792°W, ST115922"
Garnedd Lwyd,Round cairn,Aber Valley,"51°36′18″N 3°17′25″W﻿ / ﻿51.6051°N 3.2904°W, ST107903"
Two Round Cairns on the Bryn,Round cairn,Aber Valley,"51°36′35″N 3°14′52″W﻿ / ﻿51.6096°N 3.2479°W, ST136908"
"Begwns Round Barrow, Mynydd Machen",Round cairn,Bedwas  Trethomas and Machen,"51°36′13″N 3°07′20″W﻿ / ﻿51.6036°N 3.1222°W, ST223900"
Cairn 270m N of Pont Ffosyrhebog,Round cairn,Darran Valley,"51°43′00″N 3°17′09″W﻿ / ﻿51.7168°N 3.2857°W, SO112027"
Maen Cattwg (cup-marked stone),Cup-marked stone,Gelligaer,"51°40′08″N 3°15′50″W﻿ / ﻿51.6689°N 3.2638°W, ST126974"
"Bryn Owen Farm Cairns, Llanfabon",Round cairn,Llanbradach,"51°36′35″N 3°14′16″W﻿ / ﻿51.6096°N 3.2378°W, ST143908"
"Cairn Cemetery on Mynydd Bach, Bedwas",Round cairn,Maesycwmmer,"51°37′14″N 3°12′09″W﻿ / ﻿51.6206°N 3.2025°W, ST168919"
Pen-y-Rhiw Round Cairn,Round cairn,Maesycwmmer,"51°37′13″N 3°12′12″W﻿ / ﻿51.6204°N 3.2033°W, ST167919"
Carneddi Llwydion,Round cairn,Nelson,"51°37′11″N 3°17′38″W﻿ / ﻿51.6198°N 3.294°W, ST105920"
Round Cairn 315m S of Upper Wenallt,Round cairn,Risca,"51°36′32″N 3°04′31″W﻿ / ﻿51.609°N 3.0754°W, ST256905"
Twyn Cae-Hugh Round Barrow,Round barrow,Ynysddu,"51°36′59″N 3°11′41″W﻿ / ﻿51.6163°N 3.1947°W, ST173915"
Twyn-Yr-Oerfel Round Barrows,Round barrow,Ynysddu,"51°36′33″N 3°11′02″W﻿ / ﻿51.6091°N 3.1839°W, ST181906"
Ruperra Hillfort and Motte,Hillfort,Rudry,"51°34′24″N 3°07′23″W﻿ / ﻿51.5733°N 3.1231°W, ST222866"
Cefn Manmoel cross-ridge dyke,Cross Ridge Dyke,Argoed,"51°44′39″N 3°12′06″W﻿ / ﻿51.7442°N 3.2018°W, SO171057"
Rectangular Earthworks 530m SSW of Heol-Ddu-Uchaf,Practice camp,Bargoed,"51°41′04″N 3°14′52″W﻿ / ﻿51.6845°N 3.2477°W, ST138991"
Fforest Gwladys Roman practice camp,Practice camp,Gelligaer,"51°41′02″N 3°15′28″W﻿ / ﻿51.6838°N 3.2579°W, ST131990"
Gelligaer Roman Site,Fort,Gelligaer,"51°40′01″N 3°15′17″W﻿ / ﻿51.667°N 3.2548°W, ST133972"
Fort South of Pen-Llwyn-Fawr,Fort,Pontllanfraith,"51°39′04″N 3°11′42″W﻿ / ﻿51.651°N 3.195°W, ST174953"
Cross Ridge Dyke & Cairn on Twyn Hywel,Cross Ridge Dyke,Aber Valley,"51°36′42″N 3°18′03″W﻿ / ﻿51.6116°N 3.3007°W, ST100911"
Capel Gwladys,Chapel,Darran Valley,"51°41′08″N 3°16′02″W﻿ / ﻿51.6856°N 3.2671°W, ST125992"
Dyke 387m E of Clawdd Trawscae Farm,Ditch,Darran Valley,"51°41′40″N 3°16′41″W﻿ / ﻿51.6944°N 3.278°W, SO117002"
Site of Tegernacus Stone,Inscribed stone,Darran Valley,"51°42′57″N 3°14′59″W﻿ / ﻿51.7157°N 3.2498°W, SO137026"
"St. Sannan's Churchyard Cross, Bedwellty",Cross,Argoed,"51°41′42″N 3°12′27″W﻿ / ﻿51.6951°N 3.2074°W, SO166002"
Bedwas Churchyard Cross,Cross,Bedwas  Trethomas and Machen,"51°35′43″N 3°11′53″W﻿ / ﻿51.5954°N 3.1981°W, ST171891"
House Platforms to W of Mynydd Machen,House platform,Bedwas  Trethomas and Machen,"51°36′15″N 3°07′30″W﻿ / ﻿51.6043°N 3.1249°W, ST221900"
Caerphilly Castle,Castle,Caerphilly,"51°34′35″N 3°13′14″W﻿ / ﻿51.5763°N 3.2206°W, ST155870"
Castell Morgraig,Castle,Caerphilly,"51°33′07″N 3°12′47″W﻿ / ﻿51.5519°N 3.213°W, ST159843"
Capel y Brithdir,Chapel,Darran Valley,"51°42′54″N 3°14′53″W﻿ / ﻿51.7149°N 3.2481°W, SO138025"
Platform Houses on East Side of Gelligaer Common,Platform house,Darran Valley,"51°42′59″N 3°16′50″W﻿ / ﻿51.7164°N 3.2806°W, SO116027"
Three Platform Houses on Cefn Brithdir,Platform house,Darran Valley,"51°43′09″N 3°15′44″W﻿ / ﻿51.7193°N 3.2623°W, SO128030"
Twyn Castell,Motte,Gelligaer,"51°39′53″N 3°14′59″W﻿ / ﻿51.6646°N 3.2496°W, ST136969"
Twmbarlwm Mound and Bailey Castle,Motte,Risca,"51°37′38″N 3°05′46″W﻿ / ﻿51.6272°N 3.0961°W, ST243926"
Gwern-y-Domen Castle Mound,Motte,Van,"51°35′01″N 3°11′31″W﻿ / ﻿51.5837°N 3.192°W, ST175878"
Twyn Tudor,Motte,Ynysddu,"51°38′14″N 3°10′01″W﻿ / ﻿51.6373°N 3.1669°W, ST193938"
Charcoal Blast Furnace at Abercarn,Blast Furnace,Abercarn,"51°38′50″N 3°08′03″W﻿ / ﻿51.6471°N 3.1342°W, ST216948"
"Cornish Type Engine House, Bryngwyn Colliery",Engine house,Bedwas  Trethomas and Machen,"51°35′46″N 3°12′40″W﻿ / ﻿51.5962°N 3.2111°W, ST162892"
Machen Forge and Tinplate Works,Water Power System,Bedwas  Trethomas and Machen,"51°35′35″N 3°09′04″W﻿ / ﻿51.593°N 3.1511°W, ST203888"
Caerffili Mountain Shaft Mounds,Shaft Mounds,Caerphilly,"51°33′30″N 3°13′22″W﻿ / ﻿51.5583°N 3.2229°W, ST153850"
Former Dam of Cwmcarn Canal Reservoir,Dam,Crosskeys,"51°38′07″N 3°07′30″W﻿ / ﻿51.6353°N 3.1249°W, ST222935"
Pen-y-fan Pond,Reservoir,Crumlin,"51°41′52″N 3°09′51″W﻿ / ﻿51.6979°N 3.1641°W, SO196005"
Caerphilly Iron Furnace,Ironworks,Penyrheol Trecenydd and Energlyn,"51°34′53″N 3°14′22″W﻿ / ﻿51.5815°N 3.2394°W, ST142876"
Rhymney Upper Furnace,Blast Furnace,Rhymney,"51°46′27″N 3°17′36″W﻿ / ﻿51.7741°N 3.2934°W, SO108091"
Rudry Ironworks,Ironworks,Rudry,"51°35′14″N 3°09′44″W﻿ / ﻿51.5873°N 3.1622°W, ST195882"
Ruperra Castle,House (domestic),Rudry,"51°34′13″N 3°07′38″W﻿ / ﻿51.5703°N 3.1271°W, ST219863"
Ruperra Castle lower summerhouse remains,Garden building,Rudry,"51°34′22″N 3°07′20″W﻿ / ﻿51.5729°N 3.1221°W, ST223866"
Cae-yr-Arfau Burial Chamber [cy; de],Chambered tomb,Pentyrch,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°31′50″N 3°19′54″W﻿ / ﻿51.5306°N 3.3317°W, ST077821"
Five Round Barrows on Garth Hill,Round barrow,Pentyrch,"51°32′37″N 3°17′36″W﻿ / ﻿51.5436°N 3.2932°W, ST104835"
Cooking Mound East of Taff Terrace,Burnt mound,Radyr and Morganstown,"51°30′45″N 3°14′56″W﻿ / ﻿51.5126°N 3.2488°W, ST134800"
Caerau Hillfort,Hillfort,Caerau,"51°28′03″N 3°14′54″W﻿ / ﻿51.4675°N 3.2484°W, ST133750"
Llwynda-Ddu Camp,Hillfort,Pentyrch,"51°31′15″N 3°17′10″W﻿ / ﻿51.5209°N 3.2861°W, ST109810"
Castle Field Camp E of Craig-Llywn,Hillfort,Pontprennau,"51°32′58″N 3°08′55″W﻿ / ﻿51.5494°N 3.1486°W, ST204840"
"Wenallt Camp, Rhiwbina",Hillfort,Rhiwbina,"51°32′14″N 3°13′26″W﻿ / ﻿51.5373°N 3.2239°W, ST152827"
Cardiff Castle and Roman Fort,Fort,Castle,"51°28′57″N 3°10′52″W﻿ / ﻿51.4824°N 3.1811°W, ST180765"
Pen y lan Roman Site,Settlement,Roath,"51°30′06″N 3°09′23″W﻿ / ﻿51.5017°N 3.1563°W, ST198787"
Ely Roman Villa,Villa,Caerau,"51°28′40″N 3°13′46″W﻿ / ﻿51.4777°N 3.2295°W, ST147761"
Cross in Llandaff Cathedral,Cross,Llandaff,"51°29′44″N 3°13′03″W﻿ / ﻿51.4956°N 3.2176°W, ST155781"
Leckwith Bridge,Bridge,Canton,"51°28′12″N 3°12′43″W﻿ / ﻿51.4699°N 3.212°W, ST159752"
"Blackfriars Priory (dominican), Bute Park",Friary,Castle,"51°29′00″N 3°11′07″W﻿ / ﻿51.4832°N 3.1853°W, ST177766"
Castell Morgraig,Castle,Lisvane,"51°33′07″N 3°12′47″W﻿ / ﻿51.5519°N 3.213°W, ST159843"
Llandaff Cathedral Bell Tower,Bell Tower,Llandaff,"51°29′43″N 3°13′07″W﻿ / ﻿51.4953°N 3.2186°W, ST154780"
"Old Bishop's Palace, Llandaff",Bishop's Palace,Llandaff,"51°29′40″N 3°13′02″W﻿ / ﻿51.4945°N 3.2172°W, ST155779"
St Mellons Churchyard Cross,Cross,Old St Mellons,"51°31′33″N 3°06′48″W﻿ / ﻿51.5258°N 3.1134°W, ST228813"
Morganstown Castle Mound,Motte,Radyr and Morganstown,"51°31′45″N 3°15′28″W﻿ / ﻿51.5291°N 3.2579°W, ST128818"
Twmpath Castle,Motte,Rhiwbina,"51°31′56″N 3°13′17″W﻿ / ﻿51.5323°N 3.2213°W, ST153822"
Caer Castell Camp,Motte,Rumney,"51°31′00″N 3°06′56″W﻿ / ﻿51.5167°N 3.1156°W, ST226803"
Castell Coch,Castle,Tongwynlais,"51°32′10″N 3°15′18″W﻿ / ﻿51.536°N 3.2549°W, ST130826"
Relict Seawall on Rumney Great Wharf,Seawall,Trowbridge,"51°29′45″N 3°06′03″W﻿ / ﻿51.4958°N 3.1008°W, ST236780"
"Three Palmerstonian Gun Batteries, Flat Holm",Battery,Butetown,"51°22′47″N 3°07′18″W﻿ / ﻿51.3798°N 3.1216°W, ST220651"
Ely Tidal Harbour Coal Staithe Number One,Staithes,Grangetown,"51°26′52″N 3°10′58″W﻿ / ﻿51.4478°N 3.1827°W, ST179727"
"The Wreck of the ""Louisa""",Boat,Grangetown,"51°27′33″N 3°10′46″W﻿ / ﻿51.4592°N 3.1795°W, ST181740"
Queen Alexandra Dock Harbour Defence Gun Emplacement,Gun House,Butetown,"51°27′07″N 3°09′23″W﻿ / ﻿51.452°N 3.1564°W, ST197731"
Melingriffith Water Pump,Pump,Whitchurch,"51°30′44″N 3°14′16″W﻿ / ﻿51.5122°N 3.2378°W, ST142799"
Flat Holm Coastal and Anti-aircraft Defences,Battery,Butetown,"51°22′35″N 3°07′17″W﻿ / ﻿51.3765°N 3.1214°W, ST220647"
Carn Besi Burial Chamber,Chambered tomb,Cilymaenllwyd,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°55′02″N 4°40′56″W﻿ / ﻿51.9171°N 4.6823°W, SN156276"
Cerrig Llwydion Burial Chamber,Chambered tomb,Cynwyl Elfed,"51°58′04″N 4°22′07″W﻿ / ﻿51.9679°N 4.3685°W, SN373325"
"Morfa-Bychan Burial Chambers, Cairns, House Sites & Fields",Chambered tomb,Eglwyscummin,"51°44′15″N 4°34′38″W﻿ / ﻿51.7374°N 4.5772°W, SN221074"
Burial Chamber near Cross Hands,Chambered tomb,Llanboidy,"51°52′33″N 4°37′21″W﻿ / ﻿51.8758°N 4.6224°W, SN195229"
Dol-Wilym Burial Chamber,Chambered tomb,Llanboidy,"51°53′57″N 4°39′38″W﻿ / ﻿51.8993°N 4.6605°W, SN170256"
Gelli Burial Chamber,Chambered Round Cairn,Llanfair-ar-y-bryn,"52°05′50″N 3°47′48″W﻿ / ﻿52.0972°N 3.7966°W, SN770458"
Waun Pwtlyn Long Barrow,Long barrow,Llangadog,"51°55′04″N 3°52′44″W﻿ / ﻿51.9177°N 3.8788°W, SN708260"
Meini Llwydion Burial Chamber,Chambered tomb,Llangain,"51°48′47″N 4°21′20″W﻿ / ﻿51.8131°N 4.3555°W, SN377153"
Rhyd-Lydan Cromlech,Burial Chamber,Llangain,"51°49′08″N 4°21′11″W﻿ / ﻿51.819°N 4.353°W, SN379159"
Coetan Samson Burial Chamber,Chambered tomb,Llangeler,"51°59′59″N 4°18′49″W﻿ / ﻿51.9998°N 4.3135°W, SN412360"
Mynydd Llangyndeyrn Burial Chamber,Chambered tomb,Llangyndeyrn,"51°47′52″N 4°11′51″W﻿ / ﻿51.7978°N 4.1976°W, SN485133"
Twlc y Filliast Burial Chamber,Chambered tomb,Llangynog,"51°49′08″N 4°24′45″W﻿ / ﻿51.8188°N 4.4124°W, SN338161"
Fron Ucha Burial Chamber,Chambered tomb,Llansteffan,"51°46′15″N 4°23′57″W﻿ / ﻿51.7709°N 4.3993°W, SN345107"
Berrisbrook Standing Stones,Standing stone,Cilycwm,"52°01′19″N 3°52′22″W﻿ / ﻿52.022°N 3.8727°W, SN716376"
Maen Bach Standing Stone,Standing stone,Cilycwm,"52°05′22″N 3°51′14″W﻿ / ﻿52.0894°N 3.8539°W, SN730450"
Mynydd Mallaen Standing Stone,Standing stone,Cilycwm,"52°05′11″N 3°50′48″W﻿ / ﻿52.0863°N 3.8467°W, SN735447"
Troedrhiwhir standing stone,Standing stone,Cilycwm,"52°06′35″N 3°49′10″W﻿ / ﻿52.1096°N 3.8194°W, SN755472"
Ty Newydd Standing Stone,Standing stone,Cilycwm,"52°05′56″N 3°47′14″W﻿ / ﻿52.0989°N 3.7871°W, SN776460"
Capel Nebo Standing Stone,Standing stone,Cilymaenllwyd,"51°53′46″N 4°42′25″W﻿ / ﻿51.8961°N 4.7069°W, SN138254"
Maen Pica,Standing stone,Cilymaenllwyd,"51°53′39″N 4°43′00″W﻿ / ﻿51.8943°N 4.7166°W, SN131252"
Standing Stone 495m NW of Coynant,Standing stone,Cilymaenllwyd,"51°53′48″N 4°41′03″W﻿ / ﻿51.8967°N 4.6842°W, SN154254"
Standing Stone 630m NNW of Pant-yr-Odyn,Standing stone,Cilymaenllwyd,"51°53′51″N 4°41′26″W﻿ / ﻿51.8974°N 4.6906°W, SN149255"
Yr Allor,Standing stone,Cilymaenllwyd,"51°54′25″N 4°42′22″W﻿ / ﻿51.9069°N 4.706°W, SN139266"
Carreg Wen Standing Stone,Standing stone,Cynwyl Elfed,"51°58′28″N 4°23′34″W﻿ / ﻿51.9745°N 4.3927°W, SN357333"
Gareg Hir Standing Stone,Standing stone,Cynwyl Elfed,"51°58′43″N 4°19′20″W﻿ / ﻿51.9787°N 4.3221°W, SN406336"
Garreg Wen Standing Stone,Standing stone,Cynwyl Elfed,"51°57′09″N 4°25′46″W﻿ / ﻿51.9526°N 4.4294°W, SN331310"
Nant Cilgwyn standing stone,Standing stone,Cynwyl Gaeo,"52°00′56″N 3°57′03″W﻿ / ﻿52.0155°N 3.9508°W, SN662370"
Bryngwyn Standing Stone,Standing stone,Dyffryn Cennen,"51°53′05″N 3°55′58″W﻿ / ﻿51.8847°N 3.9329°W, SN670224"
Ffairfach standing stone,Standing stone,Dyffryn Cennen,"51°52′34″N 3°59′49″W﻿ / ﻿51.876°N 3.997°W, SN626216"
Pen-Lan-Uchaf Standing Stone,Standing stone,Kidwelly,"51°45′04″N 4°18′06″W﻿ / ﻿51.7512°N 4.3017°W, SN412083"
Delacorse Uchaf Standing Stone,Standing stone,Laugharne Township,"51°46′42″N 4°27′17″W﻿ / ﻿51.7782°N 4.4548°W, SN307116"
Standing Stone & Round Cairns S of Tyle-Pengam,Standing stone,Llanddeusant,"51°53′17″N 3°47′43″W﻿ / ﻿51.8881°N 3.7954°W, SN765225"
Group of Standing Stones NE of Llechdwnni,Standing stone,Llandyfaelog,"51°46′03″N 4°16′26″W﻿ / ﻿51.7676°N 4.2738°W, SN431101"
Is-Coed-Uchaf Standing Stone,Standing stone,Llandyfaelog,"51°47′11″N 4°20′27″W﻿ / ﻿51.7865°N 4.3407°W, SN386123"
Bryn-y-Rhyd Standing Stone,Standing stone,Llanedi,"51°45′22″N 4°02′48″W﻿ / ﻿51.7561°N 4.0467°W, SN588083"
Llech Ciste Standing Stone,Standing stone,Llanegwad,"51°56′01″N 4°09′45″W﻿ / ﻿51.9336°N 4.1624°W, SN514283"
